year,reporter,reporter_iso,partner,partner_iso,product,trade_flow,trade_value,currency
2018,United States,USA,Germany,DEU,Plastics & Rubber,Export,2.738,USD
2018,United States,USA,Germany,DEU,Plastics & Rubber,Import,2.492,USD
2018,United States,USA,Germany,DEU,Precision Instruments & Medical Devices,Export,3.189,USD
2018,United States,USA,Germany,DEU,Precision Instruments & Medical Devices,Import,2.899,USD
2018,United States,USA,Japan,JPN,Machinery & Electrical Equipment,Export,2.727,USD
2018,United States,USA,Japan,JPN,Machinery & Electrical Equipment,Import,3.395,USD
2018,United States,USA,Japan,JPN,Electronics & Optical Products,Export,1.538,USD
2018,United States,USA,Japan,JPN,Electronics & Optical Products,Import,3.739,USD
2018,United States,USA,Japan,JPN,Automotive & Transport Vehicles,Export,2.561,USD
2018,United States,USA,Japan,JPN,Automotive & Transport Vehicles,Import,4.428,USD
2018,United States,USA,Japan,JPN,Mineral Fuels & Petroleum,Export,1.748,USD
2018,United States,USA,Japan,JPN,Mineral Fuels & Petroleum,Import,1.905,USD
2018,United States,USA,Japan,JPN,Chemicals & Pharmaceuticals,Export,3.081,USD
2018,United States,USA,Japan,JPN,Chemicals & Pharmaceuticals,Import,1.652,USD
2018,United States,USA,Japan,JPN,Agricultural & Food Products,Export,4.041,USD
2018,United States,USA,Japan,JPN,Agricultural & Food Products,Import,2.098,USD
2018,United States,USA,Japan,JPN,Metals & Metal Products,Export,2.222,USD
2018,United States,USA,Japan,JPN,Metals & Metal Products,Import,2.188,USD
2018,United States,USA,Japan,JPN,Textiles & Apparel,Export,1.964,USD
2018,United States,USA,Japan,JPN,Textiles & Apparel,Import,2.209,USD
2018,United States,USA,Japan,JPN,Plastics & Rubber,Export,1.579,USD
2018,United States,USA,Japan,JPN,Plastics & Rubber,Import,1.66,USD
2018,United States,USA,Japan,JPN,Precision Instruments & Medical Devices,Export,1.546,USD
2018,United States,USA,Japan,JPN,Precision Instruments & Medical Devices,Import,1.758,USD
2018,United States,USA,India,IND,Machinery & Electrical Equipment,Export,2.807,USD
2018,United States,USA,India,IND,Machinery & Electrical Equipment,Import,1.57,USD
2018,United States,USA,India,IND,Electronics & Optical Products,Export,1.955,USD
2018,United States,USA,India,IND,Electronics & Optical Products,Import,1.629,USD
2018,United States,USA,India,IND,Automotive & Transport Vehicles,Export,2.365,USD
2018,United States,USA,India,IND,Automotive & Transport Vehicles,Import,1.758,USD
2018,United States,USA,India,IND,Mineral Fuels & Petroleum,Export,1.48,USD
2018,United States,USA,India,IND,Mineral Fuels & Petroleum,Import,2.905,USD
2018,United States,USA,India,IND,Chemicals & Pharmaceuticals,Export,2.294,USD
2018,United States,USA,India,IND,Chemicals & Pharmaceuticals,Import,3.716,USD
2018,United States,USA,India,IND,Agricultural & Food Products,Export,3.449,USD
2018,United States,USA,India,IND,Agricultural & Food Products,Import,2.584,USD
2018,United States,USA,India,IND,Metals & Metal Products,Export,1.386,USD
2018,United States,USA,India,IND,Metals & Metal Products,Import,2.724,USD
2018,United States,USA,India,IND,Textiles & Apparel,Export,1.871,USD
2018,United States,USA,India,IND,Textiles & Apparel,Import,3.584,USD
2018,United States,USA,India,IND,Plastics & Rubber,Export,1.916,USD
2018,United States,USA,India,IND,Plastics & Rubber,Import,1.434,USD
2018,United States,USA,India,IND,Precision Instruments & Medical Devices,Export,1.63,USD
2018,United States,USA,India,IND,Precision Instruments & Medical Devices,Import,1.462,USD
2018,United States,USA,United Kingdom,GBR,Machinery & Electrical Equipment,Export,3.154,USD
2018,United States,USA,United Kingdom,GBR,Machinery & Electrical Equipment,Import,1.7,USD
2018,United States,USA,United Kingdom,GBR,Electronics & Optical Products,Export,1.51,USD
2018,United States,USA,United Kingdom,GBR,Electronics & Optical Products,Import,1.337,USD
2018,United States,USA,United Kingdom,GBR,Automotive & Transport Vehicles,Export,2.246,USD
2018,United States,USA,United Kingdom,GBR,Automotive & Transport Vehicles,Import,1.507,USD
2018,United States,USA,United Kingdom,GBR,Mineral Fuels & Petroleum,Export,1.769,USD
2018,United States,USA,United Kingdom,GBR,Mineral Fuels & Petroleum,Import,1.709,USD
2018,United States,USA,United Kingdom,GBR,Chemicals & Pharmaceuticals,Export,2.993,USD
2018,United States,USA,United Kingdom,GBR,Chemicals & Pharmaceuticals,Import,1.602,USD
2018,United States,USA,United Kingdom,GBR,Agricultural & Food Products,Export,2.472,USD
2018,United States,USA,United Kingdom,GBR,Agricultural & Food Products,Import,1.758,USD
2018,United States,USA,United Kingdom,GBR,Metals & Metal Products,Export,1.789,USD
2018,United States,USA,United Kingdom,GBR,Metals & Metal Products,Import,1.66,USD
2018,United States,USA,United Kingdom,GBR,Textiles & Apparel,Export,1.796,USD
2018,United States,USA,United Kingdom,GBR,Textiles & Apparel,Import,1.616,USD
2018,United States,USA,United Kingdom,GBR,Plastics & Rubber,Export,1.635,USD
2018,United States,USA,United Kingdom,GBR,Plastics & Rubber,Import,1.573,USD
2018,United States,USA,United Kingdom,GBR,Precision Instruments & Medical Devices,Export,1.312,USD
2018,United States,USA,United Kingdom,GBR,Precision Instruments & Medical Devices,Import,1.366,USD
2018,United States,USA,France,FRA,Machinery & Electrical Equipment,Export,2.089,USD
2018,United States,USA,France,FRA,Machinery & Electrical Equipment,Import,1.595,USD
2018,United States,USA,France,FRA,Electronics & Optical Products,Export,1.4,USD
2018,United States,USA,France,FRA,Electronics & Optical Products,Import,1.517,USD
2018,United States,USA,France,FRA,Automotive & Transport Vehicles,Export,2.638,USD
2018,United States,USA,France,FRA,Automotive & Transport Vehicles,Import,1.36,USD
2018,United States,USA,France,FRA,Mineral Fuels & Petroleum,Export,1.458,USD
2018,United States,USA,France,FRA,Mineral Fuels & Petroleum,Import,1.667,USD
2018,United States,USA,France,FRA,Chemicals & Pharmaceuticals,Export,2.157,USD
2018,United States,USA,France,FRA,Chemicals & Pharmaceuticals,Import,1.256,USD
2018,United States,USA,France,FRA,Agricultural & Food Products,Export,2.493,USD
2018,United States,USA,France,FRA,Agricultural & Food Products,Import,1.307,USD
2018,United States,USA,France,FRA,Metals & Metal Products,Export,1.772,USD
2018,United States,USA,France,FRA,Metals & Metal Products,Import,1.698,USD
2018,United States,USA,France,FRA,Textiles & Apparel,Export,1.593,USD
2018,United States,USA,France,FRA,Textiles & Apparel,Import,1.737,USD
2018,United States,USA,France,FRA,Plastics & Rubber,Export,1.696,USD
2018,United States,USA,France,FRA,Plastics & Rubber,Import,1.322,USD
2018,United States,USA,France,FRA,Precision Instruments & Medical Devices,Export,1.749,USD
2018,United States,USA,France,FRA,Precision Instruments & Medical Devices,Import,1.536,USD
2018,United States,USA,South Korea,KOR,Machinery & Electrical Equipment,Export,2.783,USD
2018,United States,USA,South Korea,KOR,Machinery & Electrical Equipment,Import,1.689,USD
2018,United States,USA,South Korea,KOR,Electronics & Optical Products,Export,1.352,USD
2018,United States,USA,South Korea,KOR,Electronics & Optical Products,Import,3.076,USD
2018,United States,USA,South Korea,KOR,Automotive & Transport Vehicles,Export,1.949,USD
2018,United States,USA,South Korea,KOR,Automotive & Transport Vehicles,Import,2.548,USD
2018,United States,USA,South Korea,KOR,Mineral Fuels & Petroleum,Export,1.643,USD
2018,United States,USA,South Korea,KOR,Mineral Fuels & Petroleum,Import,1.668,USD
2018,United States,USA,South Korea,KOR,Chemicals & Pharmaceuticals,Export,1.873,USD
2018,United States,USA,South Korea,KOR,Chemicals & Pharmaceuticals,Import,2.05,USD
2018,United States,USA,South Korea,KOR,Agricultural & Food Products,Export,2.538,USD
2018,United States,USA,South Korea,KOR,Agricultural & Food Products,Import,1.296,USD
2018,United States,USA,South Korea,KOR,Metals & Metal Products,Export,1.236,USD
2018,United States,USA,South Korea,KOR,Metals & Metal Products,Import,1.363,USD
2018,United States,USA,South Korea,KOR,Textiles & Apparel,Export,1.716,USD
2018,United States,USA,South Korea,KOR,Textiles & Apparel,Import,1.355,USD
2018,United States,USA,South Korea,KOR,Plastics & Rubber,Export,1.469,USD
2018,United States,USA,South Korea,KOR,Plastics & Rubber,Import,1.576,USD
2018,United States,USA,South Korea,KOR,Precision Instruments & Medical Devices,Export,1.378,USD
2018,United States,USA,South Korea,KOR,Precision Instruments & Medical Devices,Import,1.733,USD
2018,United States,USA,Italy,ITA,Machinery & Electrical Equipment,Export,2.611,USD
2018,United States,USA,Italy,ITA,Machinery & Electrical Equipment,Import,1.167,USD
2018,United States,USA,Italy,ITA,Electronics & Optical Products,Export,1.295,USD
2018,United States,USA,Italy,ITA,Electronics & Optical Products,Import,1.193,USD
2018,United States,USA,Italy,ITA,Automotive & Transport Vehicles,Export,1.777,USD
2018,United States,USA,Italy,ITA,Automotive & Transport Vehicles,Import,1.056,USD
2018,United States,USA,Italy,ITA,Mineral Fuels & Petroleum,Export,1.353,USD
2018,United States,USA,Italy,ITA,Mineral Fuels & Petroleum,Import,1.297,USD
2018,United States,USA,Italy,ITA,Chemicals & Pharmaceuticals,Export,1.702,USD
2018,United States,USA,Italy,ITA,Chemicals & Pharmaceuticals,Import,1.181,USD
2018,United States,USA,Italy,ITA,Agricultural & Food Products,Export,2.714,USD
2018,United States,USA,Italy,ITA,Agricultural & Food Products,Import,1.161,USD
2018,United States,USA,Italy,ITA,Metals & Metal Products,Export,1.112,USD
2018,United States,USA,Italy,ITA,Metals & Metal Products,Import,1.291,USD
2018,United States,USA,Italy,ITA,Textiles & Apparel,Export,1.548,USD
2018,United States,USA,Italy,ITA,Textiles & Apparel,Import,1.162,USD
2018,United States,USA,Italy,ITA,Plastics & Rubber,Export,1.385,USD
2018,United States,USA,Italy,ITA,Plastics & Rubber,Import,1.432,USD
2018,United States,USA,Italy,ITA,Precision Instruments & Medical Devices,Export,1.16,USD
2018,United States,USA,Italy,ITA,Precision Instruments & Medical Devices,Import,1.414,USD
2018,United States,USA,Canada,CAN,Machinery & Electrical Equipment,Export,2.174,USD
2018,United States,USA,Canada,CAN,Machinery & Electrical Equipment,Import,1.421,USD
2018,United States,USA,Canada,CAN,Electronics & Optical Products,Export,1.422,USD
2018,United States,USA,Canada,CAN,Electronics & Optical Products,Import,1.369,USD
2018,United States,USA,Canada,CAN,Automotive & Transport Vehicles,Export,1.693,USD
2018,United States,USA,Canada,CAN,Automotive & Transport Vehicles,Import,1.531,USD
2018,United States,USA,Canada,CAN,Mineral Fuels & Petroleum,Export,1.253,USD
2018,United States,USA,Canada,CAN,Mineral Fuels & Petroleum,Import,1.181,USD
2018,United States,USA,Canada,CAN,Chemicals & Pharmaceuticals,Export,1.763,USD
2018,United States,USA,Canada,CAN,Chemicals & Pharmaceuticals,Import,1.399,USD
2018,United States,USA,Canada,CAN,Agricultural & Food Products,Export,2.603,USD
2018,United States,USA,Canada,CAN,Agricultural & Food Products,Import,1.089,USD
2018,United States,USA,Canada,CAN,Metals & Metal Products,Export,1.357,USD
2018,United States,USA,Canada,CAN,Metals & Metal Products,Import,1.202,USD
2018,United States,USA,Canada,CAN,Textiles & Apparel,Export,1.428,USD
2018,United States,USA,Canada,CAN,Textiles & Apparel,Import,1.174,USD
2018,United States,USA,Canada,CAN,Plastics & Rubber,Export,1.453,USD
2018,United States,USA,Canada,CAN,Plastics & Rubber,Import,1.289,USD
2018,United States,USA,Canada,CAN,Precision Instruments & Medical Devices,Export,1.586,USD
2018,United States,USA,Canada,CAN,Precision Instruments & Medical Devices,Import,1.154,USD
2018,United States,USA,Brazil,BRA,Machinery & Electrical Equipment,Export,1.375,USD
2018,United States,USA,Brazil,BRA,Machinery & Electrical Equipment,Import,0.73,USD
2018,United States,USA,Brazil,BRA,Electronics & Optical Products,Export,1.011,USD
2018,United States,USA,Brazil,BRA,Electronics & Optical Products,Import,0.994,USD
2018,United States,USA,Brazil,BRA,Automotive & Transport Vehicles,Export,1.171,USD
2018,United States,USA,Brazil,BRA,Automotive & Transport Vehicles,Import,0.919,USD
2018,United States,USA,Brazil,BRA,Mineral Fuels & Petroleum,Export,0.974,USD
2018,United States,USA,Brazil,BRA,Mineral Fuels & Petroleum,Import,1.59,USD
2018,United States,USA,Brazil,BRA,Chemicals & Pharmaceuticals,Export,1.399,USD
2018,United States,USA,Brazil,BRA,Chemicals & Pharmaceuticals,Import,0.775,USD
2018,United States,USA,Brazil,BRA,Agricultural & Food Products,Export,1.302,USD
2018,United States,USA,Brazil,BRA,Agricultural & Food Products,Import,3.204,USD
2018,United States,USA,Brazil,BRA,Metals & Metal Products,Export,1.002,USD
2018,United States,USA,Brazil,BRA,Metals & Metal Products,Import,1.82,USD
2018,United States,USA,Brazil,BRA,Textiles & Apparel,Export,0.808,USD
2018,United States,USA,Brazil,BRA,Textiles & Apparel,Import,0.812,USD
2018,United States,USA,Brazil,BRA,Plastics & Rubber,Export,0.942,USD
2018,United States,USA,Brazil,BRA,Plastics & Rubber,Import,1.001,USD
2018,United States,USA,Brazil,BRA,Precision Instruments & Medical Devices,Export,0.998,USD
2018,United States,USA,Brazil,BRA,Precision Instruments & Medical Devices,Import,0.961,USD
2018,United States,USA,Australia,AUS,Machinery & Electrical Equipment,Export,1.746,USD
2018,United States,USA,Australia,AUS,Machinery & Electrical Equipment,Import,0.81,USD
2018,United States,USA,Australia,AUS,Electronics & Optical Products,Export,0.84,USD
2018,United States,USA,Australia,AUS,Electronics & Optical Products,Import,1.127,USD
2018,United States,USA,Australia,AUS,Automotive & Transport Vehicles,Export,1.52,USD
2018,United States,USA,Australia,AUS,Automotive & Transport Vehicles,Import,0.781,USD
2018,United States,USA,Australia,AUS,Mineral Fuels & Petroleum,Export,0.817,USD
2018,United States,USA,Australia,AUS,Mineral Fuels & Petroleum,Import,2.9,USD
2018,United States,USA,Australia,AUS,Chemicals & Pharmaceuticals,Export,1.247,USD
2018,United States,USA,Australia,AUS,Chemicals & Pharmaceuticals,Import,0.84,USD
2018,United States,USA,Australia,AUS,Agricultural & Food Products,Export,1.784,USD
2018,United States,USA,Australia,AUS,Agricultural & Food Products,Import,1.989,USD
2018,United States,USA,Australia,AUS,Metals & Metal Products,Export,1.031,USD
2018,United States,USA,Australia,AUS,Metals & Metal Products,Import,3.027,USD
2018,United States,USA,Australia,AUS,Textiles & Apparel,Export,1.054,USD
2018,United States,USA,Australia,AUS,Textiles & Apparel,Import,0.87,USD
2018,United States,USA,Australia,AUS,Plastics & Rubber,Export,0.904,USD
2018,United States,USA,Australia,AUS,Plastics & Rubber,Import,1.068,USD
2018,United States,USA,Australia,AUS,Precision Instruments & Medical Devices,Export,1.03,USD
2018,United States,USA,Australia,AUS,Precision Instruments & Medical Devices,Import,1.108,USD
2018,United States,USA,Netherlands,NLD,Machinery & Electrical Equipment,Export,2.537,USD
2018,United States,USA,Netherlands,NLD,Machinery & Electrical Equipment,Import,1.442,USD
2018,United States,USA,Netherlands,NLD,Electronics & Optical Products,Export,1.176,USD
2018,United States,USA,Netherlands,NLD,Electronics & Optical Products,Import,1.33,USD
2018,United States,USA,Netherlands,NLD,Automotive & Transport Vehicles,Export,1.908,USD
2018,United States,USA,Netherlands,NLD,Automotive & Transport Vehicles,Import,1.26,USD
2018,United States,USA,Netherlands,NLD,Mineral Fuels & Petroleum,Export,1.67,USD
2018,United States,USA,Netherlands,NLD,Mineral Fuels & Petroleum,Import,1.344,USD
2018,United States,USA,Netherlands,NLD,Chemicals & Pharmaceuticals,Export,2.599,USD
2018,United States,USA,Netherlands,NLD,Chemicals & Pharmaceuticals,Import,1.478,USD
2018,United States,USA,Netherlands,NLD,Agricultural & Food Products,Export,2.825,USD
2018,United States,USA,Netherlands,NLD,Agricultural & Food Products,Import,1.405,USD
2018,United States,USA,Netherlands,NLD,Metals & Metal Products,Export,1.447,USD
2018,United States,USA,Netherlands,NLD,Metals & Metal Products,Import,1.4,USD
2018,United States,USA,Netherlands,NLD,Textiles & Apparel,Export,1.233,USD
2018,United States,USA,Netherlands,NLD,Textiles & Apparel,Import,1.529,USD
2018,United States,USA,Netherlands,NLD,Plastics & Rubber,Export,1.281,USD
2018,United States,USA,Netherlands,NLD,Plastics & Rubber,Import,1.137,USD
2018,United States,USA,Netherlands,NLD,Precision Instruments & Medical Devices,Export,1.486,USD
2018,United States,USA,Netherlands,NLD,Precision Instruments & Medical Devices,Import,1.223,USD
2018,United States,USA,Mexico,MEX,Machinery & Electrical Equipment,Export,2.375,USD
2018,United States,USA,Mexico,MEX,Machinery & Electrical Equipment,Import,1.404,USD
2018,United States,USA,Mexico,MEX,Electronics & Optical Products,Export,1.385,USD
2018,United States,USA,Mexico,MEX,Electronics & Optical Products,Import,1.126,USD
2018,United States,USA,Mexico,MEX,Automotive & Transport Vehicles,Export,1.437,USD
2018,United States,USA,Mexico,MEX,Automotive & Transport Vehicles,Import,1.392,USD
2018,United States,USA,Mexico,MEX,Mineral Fuels & Petroleum,Export,1.154,USD
2018,United States,USA,Mexico,MEX,Mineral Fuels & Petroleum,Import,1.41,USD
2018,United States,USA,Mexico,MEX,Chemicals & Pharmaceuticals,Export,2.253,USD
2018,United States,USA,Mexico,MEX,Chemicals & Pharmaceuticals,Import,1.356,USD
2018,United States,USA,Mexico,MEX,Agricultural & Food Products,Export,1.963,USD
2018,United States,USA,Mexico,MEX,Agricultural & Food Products,Import,1.133,USD
2018,United States,USA,Mexico,MEX,Metals & Metal Products,Export,1.355,USD
2018,United States,USA,Mexico,MEX,Metals & Metal Products,Import,1.101,USD
2018,United States,USA,Mexico,MEX,Textiles & Apparel,Export,1.031,USD
2018,United States,USA,Mexico,MEX,Textiles & Apparel,Import,1.215,USD
2018,United States,USA,Mexico,MEX,Plastics & Rubber,Export,1.395,USD
2018,United States,USA,Mexico,MEX,Plastics & Rubber,Import,1.281,USD
2018,United States,USA,Mexico,MEX,Precision Instruments & Medical Devices,Export,1.221,USD
2018,United States,USA,Mexico,MEX,Precision Instruments & Medical Devices,Import,0.997,USD
2018,United States,USA,Saudi Arabia,SAU,Machinery & Electrical Equipment,Export,1.44,USD
2018,United States,USA,Saudi Arabia,SAU,Machinery & Electrical Equipment,Import,0.969,USD
2018,United States,USA,Saudi Arabia,SAU,Electronics & Optical Products,Export,0.693,USD
2018,United States,USA,Saudi Arabia,SAU,Electronics & Optical Products,Import,0.816,USD
2018,United States,USA,Saudi Arabia,SAU,Automotive & Transport Vehicles,Export,1.398,USD
2018,United States,USA,Saudi Arabia,SAU,Automotive & Transport Vehicles,Import,0.888,USD
2018,United States,USA,Saudi Arabia,SAU,Mineral Fuels & Petroleum,Export,0.874,USD
2018,United States,USA,Saudi Arabia,SAU,Mineral Fuels & Petroleum,Import,3.94,USD
2018,United States,USA,Saudi Arabia,SAU,Chemicals & Pharmaceuticals,Export,1.223,USD
2018,United States,USA,Saudi Arabia,SAU,Chemicals & Pharmaceuticals,Import,0.892,USD
2018,United States,USA,Saudi Arabia,SAU,Agricultural & Food Products,Export,1.638,USD
2018,United States,USA,Saudi Arabia,SAU,Agricultural & Food Products,Import,0.91,USD
2018,United States,USA,Saudi Arabia,SAU,Metals & Metal Products,Export,0.929,USD
2018,United States,USA,Saudi Arabia,SAU,Metals & Metal Products,Import,0.944,USD
2018,United States,USA,Saudi Arabia,SAU,Textiles & Apparel,Export,0.814,USD
2018,United States,USA,Saudi Arabia,SAU,Textiles & Apparel,Import,0.81,USD
2018,United States,USA,Saudi Arabia,SAU,Plastics & Rubber,Export,0.907,USD
2018,United States,USA,Saudi Arabia,SAU,Plastics & Rubber,Import,0.859,USD
2018,United States,USA,Saudi Arabia,SAU,Precision Instruments & Medical Devices,Export,0.875,USD
2018,United States,USA,Saudi Arabia,SAU,Precision Instruments & Medical Devices,Import,0.906,USD
2018,United States,USA,United Arab Emirates,ARE,Machinery & Electrical Equipment,Export,1.804,USD
2018,United States,USA,United Arab Emirates,ARE,Machinery & Electrical Equipment,Import,0.859,USD
2018,United States,USA,United Arab Emirates,ARE,Electronics & Optical Products,Export,0.872,USD
2018,United States,USA,United Arab Emirates,ARE,Electronics & Optical Products,Import,0.769,USD
2018,United States,USA,United Arab Emirates,ARE,Automotive & Transport Vehicles,Export,1.42,USD
2018,United States,USA,United Arab Emirates,ARE,Automotive & Transport Vehicles,Import,0.748,USD
2018,United States,USA,United Arab Emirates,ARE,Mineral Fuels & Petroleum,Export,0.905,USD
2018,United States,USA,United Arab Emirates,ARE,Mineral Fuels & Petroleum,Import,2.801,USD
2018,United States,USA,United Arab Emirates,ARE,Chemicals & Pharmaceuticals,Export,1.343,USD
2018,United States,USA,United Arab Emirates,ARE,Chemicals & Pharmaceuticals,Import,0.951,USD
2018,United States,USA,United Arab Emirates,ARE,Agricultural & Food Products,Export,1.342,USD
2018,United States,USA,United Arab Emirates,ARE,Agricultural & Food Products,Import,0.748,USD
2018,United States,USA,United Arab Emirates,ARE,Metals & Metal Products,Export,1.036,USD
2018,United States,USA,United Arab Emirates,ARE,Metals & Metal Products,Import,1.56,USD
2018,United States,USA,United Arab Emirates,ARE,Textiles & Apparel,Export,0.781,USD
2018,United States,USA,United Arab Emirates,ARE,Textiles & Apparel,Import,0.926,USD
2018,United States,USA,United Arab Emirates,ARE,Plastics & Rubber,Export,1.017,USD
2018,United States,USA,United Arab Emirates,ARE,Plastics & Rubber,Import,0.814,USD
2018,United States,USA,United Arab Emirates,ARE,Precision Instruments & Medical Devices,Export,0.963,USD
2018,United States,USA,United Arab Emirates,ARE,Precision Instruments & Medical Devices,Import,0.766,USD
2018,United States,USA,Singapore,SGP,Machinery & Electrical Equipment,Export,1.507,USD
2018,United States,USA,Singapore,SGP,Machinery & Electrical Equipment,Import,1.094,USD
2018,United States,USA,Singapore,SGP,Electronics & Optical Products,Export,1.098,USD
2018,United States,USA,Singapore,SGP,Electronics & Optical Products,Import,1.139,USD
2018,United States,USA,Singapore,SGP,Automotive & Transport Vehicles,Export,1.767,USD
2018,United States,USA,Singapore,SGP,Automotive & Transport Vehicles,Import,1.286,USD
2018,United States,USA,Singapore,SGP,Mineral Fuels & Petroleum,Export,1.087,USD
2018,United States,USA,Singapore,SGP,Mineral Fuels & Petroleum,Import,1.004,USD
2018,United States,USA,Singapore,SGP,Chemicals & Pharmaceuticals,Export,1.932,USD
2018,United States,USA,Singapore,SGP,Chemicals & Pharmaceuticals,Import,0.981,USD
2018,United States,USA,Singapore,SGP,Agricultural & Food Products,Export,1.897,USD
2018,United States,USA,Singapore,SGP,Agricultural & Food Products,Import,0.898,USD
2018,United States,USA,Singapore,SGP,Metals & Metal Products,Export,0.875,USD
2018,United States,USA,Singapore,SGP,Metals & Metal Products,Import,1.28,USD
2018,United States,USA,Singapore,SGP,Textiles & Apparel,Export,1.225,USD
2018,United States,USA,Singapore,SGP,Textiles & Apparel,Import,1.165,USD
2018,United States,USA,Singapore,SGP,Plastics & Rubber,Export,1.041,USD
2018,United States,USA,Singapore,SGP,Plastics & Rubber,Import,0.939,USD
2018,United States,USA,Singapore,SGP,Precision Instruments & Medical Devices,Export,0.932,USD
2018,United States,USA,Singapore,SGP,Precision Instruments & Medical Devices,Import,0.972,USD
2018,United States,USA,Switzerland,CHE,Machinery & Electrical Equipment,Export,1.779,USD
2018,United States,USA,Switzerland,CHE,Machinery & Electrical Equipment,Import,1.114,USD
2018,United States,USA,Switzerland,CHE,Electronics & Optical Products,Export,1.092,USD
2018,United States,USA,Switzerland,CHE,Electronics & Optical Products,Import,0.936,USD
2018,United States,USA,Switzerland,CHE,Automotive & Transport Vehicles,Export,1.819,USD
2018,United States,USA,Switzerland,CHE,Automotive & Transport Vehicles,Import,1.124,USD
2018,United States,USA,Switzerland,CHE,Mineral Fuels & Petroleum,Export,1.048,USD
2018,United States,USA,Switzerland,CHE,Mineral Fuels & Petroleum,Import,1.072,USD
2018,United States,USA,Switzerland,CHE,Chemicals & Pharmaceuticals,Export,1.589,USD
2018,United States,USA,Switzerland,CHE,Chemicals & Pharmaceuticals,Import,0.922,USD
2018,United States,USA,Switzerland,CHE,Agricultural & Food Products,Export,1.74,USD
2018,United States,USA,Switzerland,CHE,Agricultural & Food Products,Import,1.132,USD
2018,United States,USA,Switzerland,CHE,Metals & Metal Products,Export,0.827,USD
2018,United States,USA,Switzerland,CHE,Metals & Metal Products,Import,0.868,USD
2018,United States,USA,Switzerland,CHE,Textiles & Apparel,Export,0.84,USD
2018,United States,USA,Switzerland,CHE,Textiles & Apparel,Import,0.838,USD
2018,United States,USA,Switzerland,CHE,Plastics & Rubber,Export,1.172,USD
2018,United States,USA,Switzerland,CHE,Plastics & Rubber,Import,1.11,USD
2018,United States,USA,Switzerland,CHE,Precision Instruments & Medical Devices,Export,1.015,USD
2018,United States,USA,Switzerland,CHE,Precision Instruments & Medical Devices,Import,0.861,USD
2018,United States,USA,Spain,ESP,Machinery & Electrical Equipment,Export,1.464,USD
2018,United States,USA,Spain,ESP,Machinery & Electrical Equipment,Import,0.855,USD
2018,United States,USA,Spain,ESP,Electronics & Optical Products,Export,0.751,USD
2018,United States,USA,Spain,ESP,Electronics & Optical Products,Import,0.841,USD
