country,iso_code,year,gdp
Sweden,SWE,2019,509.98
Sweden,SWE,2020,492.19
Sweden,SWE,2021,557.42
Sweden,SWE,2022,575.21
Sweden,SWE,2023,593.0
Sweden,SWE,2024,619.68
Belgium,BEL,2018,518.24
Belgium,BEL,2019,543.52
Belgium,BEL,2020,524.56
Belgium,BEL,2021,594.08
Belgium,BEL,2022,613.04
Belgium,BEL,2023,632.0
Belgium,BEL,2024,660.44
Norway,NOR,2018,397.7
Norway,NOR,2019,417.1
Norway,NOR,2020,402.55
Norway,NOR,2021,455.9
Norway,NOR,2022,470.45
Norway,NOR,2023,485.0
Norway,NOR,2024,506.82
United Arab Emirates,ARE,2018,413.28
United Arab Emirates,ARE,2019,433.44
United Arab Emirates,ARE,2020,418.32
United Arab Emirates,ARE,2021,473.76
United Arab Emirates,ARE,2022,488.88
United Arab Emirates,ARE,2023,504.0
United Arab Emirates,ARE,2024,526.68
Singapore,SGP,2018,410.82
Singapore,SGP,2019,430.86
Singapore,SGP,2020,415.83
Singapore,SGP,2021,470.94
Singapore,SGP,2022,485.97
Singapore,SGP,2023,501.0
Singapore,SGP,2024,523.54
Vietnam,VNM,2018,323.64
Vietnam,VNM,2019,344.96
Vietnam,VNM,2020,338.27
Vietnam,VNM,2021,389.15
Vietnam,VNM,2022,407.81
Vietnam,VNM,2023,441.87
Vietnam,VNM,2024,461.75
Malaysia,MYS,2018,327.18
Malaysia,MYS,2019,343.14
Malaysia,MYS,2020,331.17
Malaysia,MYS,2021,375.06
Malaysia,MYS,2022,387.03
Malaysia,MYS,2023,399.0
Malaysia,MYS,2024,416.95
Philippines,PHL,2018,358.34
Philippines,PHL,2019,375.82
Philippines,PHL,2020,362.71
Philippines,PHL,2021,410.78
Philippines,PHL,2022,423.89
Philippines,PHL,2023,437.0
Philippines,PHL,2024,456.66
South Africa,ZAF,2018,309.14
South Africa,ZAF,2019,324.22
South Africa,ZAF,2020,312.91
South Africa,ZAF,2021,354.38
South Africa,ZAF,2022,365.69
South Africa,ZAF,2023,377.0
South Africa,ZAF,2024,393.96
Egypt,EGY,2018,323.9
Egypt,EGY,2019,339.7
Egypt,EGY,2020,327.85
Egypt,EGY,2021,371.3
Egypt,EGY,2022,383.15
Egypt,EGY,2023,395.0
Egypt,EGY,2024,412.77
Pakistan,PAK,2018,277.16
Pakistan,PAK,2019,290.68
Pakistan,PAK,2020,280.54
Pakistan,PAK,2021,317.72
Pakistan,PAK,2022,327.86
Pakistan,PAK,2023,338.0
Pakistan,PAK,2024,353.21
Chile,CHL,2018,274.7
Chile,CHL,2019,288.1
Chile,CHL,2020,278.05
Chile,CHL,2021,314.9
Chile,CHL,2022,324.95
Chile,CHL,2023,335.0
Chile,CHL,2024,350.07
Colombia,COL,2018,297.66
Colombia,COL,2019,312.18
Colombia,COL,2020,301.29
Colombia,COL,2021,341.22
Colombia,COL,2022,352.11
Colombia,COL,2023,363.0
Colombia,COL,2024,379.33
Bangladesh,BGD,2018,358.34
Bangladesh,BGD,2019,375.82
Bangladesh,BGD,2020,362.71
Bangladesh,BGD,2021,410.78
Bangladesh,BGD,2022,423.89
Bangladesh,BGD,2023,437.0
Bangladesh,BGD,2024,456.66
Nigeria,NGA,2018,296.84
Nigeria,NGA,2019,311.32
Nigeria,NGA,2020,300.46
Nigeria,NGA,2021,340.28
Nigeria,NGA,2022,351.14
Nigeria,NGA,2023,362.0
Nigeria,NGA,2024,378.29
Israel,ISR,2018,417.38
Israel,ISR,2019,437.74
Israel,ISR,2020,422.47
Israel,ISR,2021,478.46
Israel,ISR,2022,493.73
Israel,ISR,2023,509.0
Israel,ISR,2024,531.9
Ireland,IRL,2018,446.9
Ireland,IRL,2019,468.7
Ireland,IRL,2020,452.35
Ireland,IRL,2021,512.3
Ireland,IRL,2022,528.65
Ireland,IRL,2023,545.0
Ireland,IRL,2024,569.52
Denmark,DNK,2018,331.28
Denmark,DNK,2019,347.44
Denmark,DNK,2020,335.32
Denmark,DNK,2021,379.76
Denmark,DNK,2022,391.88
Denmark,DNK,2023,404.0
Denmark,DNK,2024,422.18
Austria,AUT,2018,423.12
Austria,AUT,2019,443.76
Austria,AUT,2020,428.28
Austria,AUT,2021,485.04
Austria,AUT,2022,500.52
Austria,AUT,2023,516.0
Austria,AUT,2024,539.22
Peru,PER,2018,218.94
Peru,PER,2019,229.62
Peru,PER,2020,221.61
Peru,PER,2021,250.98
Peru,PER,2022,258.99
Peru,PER,2023,267.0
Peru,PER,2024,279.01
Kenya,KEN,2018,80.72
Kenya,KEN,2019,86.04
Kenya,KEN,2020,84.37
Kenya,KEN,2021,97.06
Kenya,KEN,2022,101.71
Kenya,KEN,2023,110.21
Kenya,KEN,2024,115.17
Morocco,MAR,2018,115.62
Morocco,MAR,2019,121.26
Morocco,MAR,2020,117.03
Morocco,MAR,2021,132.54
Morocco,MAR,2022,136.77
Morocco,MAR,2023,141.0
Morocco,MAR,2024,147.34
Algeria,DZA,2018,195.98
Algeria,DZA,2019,205.54
Algeria,DZA,2020,198.37
Algeria,DZA,2021,224.66
Algeria,DZA,2022,231.83
Algeria,DZA,2023,239.0
Algeria,DZA,2024,249.75
Ghana,GHA,2018,62.32
Ghana,GHA,2019,65.36
Ghana,GHA,2020,63.08
Ghana,GHA,2021,71.44
Ghana,GHA,2022,73.72
Ghana,GHA,2023,76.0
Ghana,GHA,2024,79.42
Ethiopia,ETH,2018,122.97
Ethiopia,ETH,2019,131.07
Ethiopia,ETH,2020,128.53
Ethiopia,ETH,2021,147.86
Ethiopia,ETH,2022,154.95
Ethiopia,ETH,2023,167.89
Ethiopia,ETH,2024,175.45
Tanzania,TZA,2018,64.78
Tanzania,TZA,2019,67.94
Tanzania,TZA,2020,65.57
Tanzania,TZA,2021,74.26
Tanzania,TZA,2022,76.63
Tanzania,TZA,2023,79.0
Tanzania,TZA,2024,82.55
Angola,AGO,2018,86.92
Angola,AGO,2019,91.16
Angola,AGO,2020,87.98
Angola,AGO,2021,99.64
Angola,AGO,2022,102.82
Angola,AGO,2023,106.0
Angola,AGO,2024,110.77
Kazakhstan,KAZ,2018,214.02
Kazakhstan,KAZ,2019,224.46
Kazakhstan,KAZ,2020,216.63
Kazakhstan,KAZ,2021,245.34
Kazakhstan,KAZ,2022,253.17
Kazakhstan,KAZ,2023,261.0
Kazakhstan,KAZ,2024,272.75
Uzbekistan,UZB,2018,73.8
Uzbekistan,UZB,2019,77.4
Uzbekistan,UZB,2020,74.7
Uzbekistan,UZB,2021,84.6
Uzbekistan,UZB,2022,87.3
Uzbekistan,UZB,2023,90.0
Uzbekistan,UZB,2024,94.05
Qatar,QAT,2018,192.7
Qatar,QAT,2019,202.1
Qatar,QAT,2020,195.05
Qatar,QAT,2021,220.9
Qatar,QAT,2022,227.95
Qatar,QAT,2023,235.0
Qatar,QAT,2024,245.57
Kuwait,KWT,2018,132.02
Kuwait,KWT,2019,138.46
Kuwait,KWT,2020,133.63
Kuwait,KWT,2021,151.34
Kuwait,KWT,2022,156.17
Kuwait,KWT,2023,161.0
Kuwait,KWT,2024,168.24
Oman,OMN,2018,88.56
Oman,OMN,2019,92.88
Oman,OMN,2020,89.64
Oman,OMN,2021,101.52
Oman,OMN,2022,104.76
Oman,OMN,2023,108.0
Oman,OMN,2024,112.86
Iraq,IRQ,2018,205.0
Iraq,IRQ,2019,215.0
Iraq,IRQ,2020,207.5
Iraq,IRQ,2021,235.0
Iraq,IRQ,2022,242.5
Iraq,IRQ,2023,250.0
Iraq,IRQ,2024,261.25
Greece,GRC,2018,195.16
Greece,GRC,2019,204.68
Greece,GRC,2020,197.54
Greece,GRC,2021,223.72
Greece,GRC,2022,230.86
Greece,GRC,2023,238.0
Greece,GRC,2024,248.71
Portugal,PRT,2018,235.34
Portugal,PRT,2019,246.82
Portugal,PRT,2020,238.21
Portugal,PRT,2021,269.78
Portugal,PRT,2022,278.39
Portugal,PRT,2023,287.0
Portugal,PRT,2024,299.91
Finland,FIN,2018,246.0
Finland,FIN,2019,258.0
Finland,FIN,2020,249.0
Finland,FIN,2021,282.0
Finland,FIN,2022,291.0
Finland,FIN,2023,300.0
Finland,FIN,2024,313.5
Romania,ROU,2018,287.82
Romania,ROU,2019,301.86
Romania,ROU,2020,291.33
Romania,ROU,2021,329.94
Romania,ROU,2022,340.47
Romania,ROU,2023,351.0
Romania,ROU,2024,366.79
Czech Republic,CZE,2018,270.6
Czech Republic,CZE,2019,283.8
Czech Republic,CZE,2020,273.9
Czech Republic,CZE,2021,310.2
Czech Republic,CZE,2022,320.1
Czech Republic,CZE,2023,330.0
Czech Republic,CZE,2024,344.85
Hungary,HUN,2018,173.84
Hungary,HUN,2019,182.32
Hungary,HUN,2020,175.96
Hungary,HUN,2021,199.28
Hungary,HUN,2022,205.64
Hungary,HUN,2023,212.0
Hungary,HUN,2024,221.54
Ukraine,UKR,2018,145.96
Ukraine,UKR,2019,153.08
Ukraine,UKR,2020,147.74
Ukraine,UKR,2021,167.32
Ukraine,UKR,2022,172.66
Ukraine,UKR,2023,178.0
Ukraine,UKR,2024,186.01
New Zealand,NZL,2018,207.46
New Zealand,NZL,2019,217.58
New Zealand,NZL,2020,209.99
New Zealand,NZL,2021,237.82
New Zealand,NZL,2022,245.41
New Zealand,NZL,2023,253.0
New Zealand,NZL,2024,264.38
Ecuador,ECU,2018,96.76
Ecuador,ECU,2019,101.48
Ecuador,ECU,2020,97.94
Ecuador,ECU,2021,110.92
Ecuador,ECU,2022,114.46
Ecuador,ECU,2023,118.0
Ecuador,ECU,2024,123.31
Venezuela,VEN,2018,80.36
Venezuela,VEN,2019,84.28
Venezuela,VEN,2020,81.34
Venezuela,VEN,2021,92.12
Venezuela,VEN,2022,95.06
Venezuela,VEN,2023,98.0
Venezuela,VEN,2024,102.41
